Ad ID,Car Name,Make,Model,Year,KM's driven,Price,Fuel,Registration city,Car documents,Assembly,Transmission,Condition,Seller Location,Car Features
1079285766,suzuki bolan 2014 model for sale,Suzuki,Bolan,2014,80000,1130000,Petrol,Lahore,Original,Imported,Manual,Used,"Dhok Abdullah, Jhelum","AM/FM Radio, USB and Auxillary Cable"
1080887449,SUZUKI ALTO VXR 2003 FULLY ORIGINAL CONDITION,Suzuki,Alto,2003,90000,680000,Petrol,Karachi,Original,Local,Manual,Used,"Shahra-e-Faisal, Karachi","Air Conditioning, AM/FM Radio, CD Player, Keyless Entry, Rear speakers"
1080819011,DAIHATSU HIJET,Daihatsu,Hijet,2016,123456,1850000,Petrol,Karachi,Original,Imported,Automatic,Used,"Shah Faisal Town, Karachi","ABS, Air Bags, Air Conditioning, AM/FM Radio, Front Speakers, Navigation System, Power Locks, Power Steering, Power Windows, Rear Camera, USB and Auxillary Cable"
1080843095,coure cx eco 2010 50%percent orignal andr se seal by seal orignal,Daihatsu,Cuore,2010,70000,830000,Petrol,Karachi,Original,Local,Manual,Used,"Latifabad Unit 8, Hyderabad","Air Conditioning, Alloy Rims, AM/FM Radio, Cassette Player, Cool Box, Cruise Control"
1079326682,Mitsubishi Ek Wagon 2013 / 2016,Mitsubishi,Ek Wagon,2013,83000,2000000,Petrol,Karachi,Original,Imported,Automatic,Used,"Khalid Bin Walid Road, Karachi","ABS, Air Bags, Air Conditioning, Immobilizer Key, Navigation System, Power Locks, Power Mirrors, Power Steering, Power Windows, Rear Camera"
1080728059,SUZUKI SWIFT 2022 FULL OPTION AUTO TRANSMISSION JUST LIKE BRAND NEW,Suzuki,Swift,2022,13000,4750000,Petrol,Karachi,Original,Local,Automatic,Used,"Clifton - Block 7, Karachi","ABS, Air Bags, Air Conditioning, Alloy Rims, AM/FM Radio, CD Player, Cassette Player, Cruise Control, Climate Control, DVD Player, Front Speakers, Front Camera, Heated Seats, Immobilizer Key, Keyless Entry, Navigation System, Power Locks, Power Mirrors, Power Steering, Power Windows, Rear speakers, Rear Camera, Steering Switches, USB and Auxillary Cable"
1080605324,Suzuki Baleno,Suzuki,Baleno,2004,249000,900000,Petrol,Karachi,Original,Imported,Manual,Used,"Motorway Chowk, Islamabad","AM/FM Radio, CD Player, Front Speakers, Power Steering, Power Windows, Rear speakers, Rear Camera"
1080565900,Wagonr Limited Japanese Mint Condition For Sale,Suzuki,Wagon R,2012,120000,2100000,Petrol,Lahore,Original,Imported,Automatic,Used,"Rahwali Cantt, Gujranwala","Air Bags, Air Conditioning, Alloy Rims, AM/FM Radio, CD Player, Cool Box, Climate Control, Front Speakers, Immobilizer Key, Keyless Entry, Navigation System, Power Locks, Power Mirrors, Power Steering, Power Windows, Rear speakers, Rear Camera, Steering Switches, USB and Auxillary Cable"
1080867100,carry bolan 2007,Suzuki,Bolan,2007,50000,850000,Petrol,Rawalpindi,Original,Imported,Manual,Used,"Cantt, Rawalpindi",Front Speakers
1080243326,Toyota Passo,Toyota,Passo,2018,80000,3750000,Petrol,Islamabad,Original,Imported,Automatic,Used,"DHA Phase 6, Lahore","ABS, Air Bags, Air Conditioning, AM/FM Radio, CD Player, Climate Control, Front Speakers, Immobilizer Key, Keyless Entry, Power Mirrors, Power Steering, Power Windows, Rear Camera, Steering Switches"
